Club Type,Club Brand,Club Model,Carry Distance,Total Distance,Ball Speed,Launch Angle,Launch Direction,Apex,Side Carry,Club Speed,Smash Factor,Descent Angle,Spin Rate,Spin Axis,Shot Type
pw,Mizuno,JPX 923 Hot Metal HL,50.6,62.2,52.3,27.1,-5.2,23.4,-4.3,49.0,1.07,34.3,,,Left
pw,Mizuno,JPX 923 Hot Metal HL,80.9,94.3,69.2,25.1,-1.9,39.8,-2.2,59.0,1.17,38.0,,,Left
pw,Mizuno,JPX 923 Hot Metal HL,86.6,99.9,72.0,26.0,-1.4,45.8,-1.6,64.0,1.12,40.3,,,Straight
pw,Mizuno,JPX 923 Hot Metal HL,79.2,91.8,67.9,26.6,-1.4,41.4,-1.4,59.0,1.15,39.4,,,Straight
pw,Mizuno,JPX 923 Hot Metal HL,74.1,87.4,66.3,23.6,-1.2,32.8,-1.1,60.1,1.10,34.8,,,Straight
pw,Mizuno,JPX 923 Hot Metal HL,45.1,86.3,77.8,4.6,0.0,3.2,0.3,65.1,1.19,6.3,,,Straight
pw,Mizuno,JPX 923 Hot Metal HL,80.3,93.7,69.2,24.3,-2.7,37.9,-3.4,61.8,1.12,36.9,,,Left
pw,Mizuno,JPX 923 Hot Metal HL,68.3,80.9,62.1,27.3,-2.8,34.9,-3.0,64.0,0.97,38.1,,,Left
pw,Mizuno,JPX 923 Hot Metal HL,83.1,95.6,69.9,27.8,4.0,47.0,6.2,69.6,1.01,41.8,,,Right
pw,Mizuno,JPX 923 Hot Metal HL,83.4,96.6,70.4,25.6,-0.9,42.6,-0.9,67.9,1.04,39.2,,,Straight
pw,Mizuno,JPX 923 Hot Metal HL,98.3,113.9,78.4,22.2,-5.7,45.0,-9.3,64.0,1.23,37.2,,,Left
9i,Mizuno,JPX 923 Hot Metal HL,102.6,120.7,82.5,18.9,-2.6,40.9,-4.1,65.1,1.27,34.3,,,Left
9i,Mizuno,JPX 923 Hot Metal HL,80.0,96.2,70.5,20.6,-5.6,31.1,-7.4,64.0,1.10,32.1,,,Left
9i,Mizuno,JPX 923 Hot Metal HL,86.2,106.4,76.6,16.0,-3.0,26.3,-4.1,62.9,1.22,26.9,,,Left
9i,Mizuno,JPX 923 Hot Metal HL,81.1,96.6,70.7,21.6,-2.8,33.4,-3.5,68.5,1.03,33.6,,,Left
9i,Mizuno,JPX 923 Hot Metal HL,84.3,97.7,71.1,24.8,-1.5,41.7,-1.7,67.4,1.06,38.4,,,Right
9i,Mizuno,JPX 923 Hot Metal HL,94.8,110.9,77.5,21.4,0.9,41.6,2.0,62.4,1.24,36.1,,,Straight
9i,Mizuno,JPX 923 Hot Metal HL,90.9,106.9,75.8,20.9,-1.9,38.1,-2.5,65.1,1.16,34.7,,,Left
